RowID,Contents,Parents,Color
vibrantmaroon,"((""dimbeige"", 3),(""drabblue"", 4))","(""plaidchartreuse"",""poshmagenta"",""darkyellow"",""stripedwhite"",""mirroredsilver"",""stripedred"",""wavysilver"",""clearchartreuse"")","(B=191,G=163,R=41,A=255)"
vibrantlime,"((""palecyan"", 2))","(""vibranttan"")","(B=36,G=98,R=231,A=255)"
stripedfuchsia,"((""vibrantbronze"", 1),(""shinylavender"", 3))","(""clearviolet"",""stripedgray"",""fadedfuchsia"",""mutedolive"",""mutedgreen"",""clearcyan"",""dottedyellow"",""dullplum"",""stripedpurple"")","(B=191,G=11,R=216,A=255)"
mirroredindigo,"((""dimgray"", 4))","(""drabindigo"",""shinybronze"")","(B=10,G=151,R=48,A=255)"
poshbronze,"((""mutedcoral"", 5),(""paleorange"", 2))","(""brightchartreuse"")","(B=118,G=92,R=155,A=255)"
mirroredviolet,"((""dottedpurple"", 2),(""poshgreen"", 2))","(""darklime"")","(B=198,G=59,R=168,A=255)"
dottedlime,"((""dullfuchsia"", 3),(""plaidfuchsia"", 4),(""palegray"", 4),(""drabfuchsia"", 3))",,"(B=235,G=15,R=253,A=255)"
dullgray,"((""brightbrown"", 4),(""darkblue"", 5),(""dullcyan"", 4),(""darkviolet"", 1))","(""brightgold"",""plaidcrimson"")","(B=58,G=43,R=1,A=255)"
poshindigo,"((""fadedteal"", 1),(""darkcyan"", 3))","(""lightsilver"",""mutedplum"",""shinycyan"")","(B=130,G=132,R=255,A=255)"
shinyorange,"((""mirroredgreen"", 3),(""dimtomato"", 5))","(""poshplum"",""shinymagenta"",""mutedindigo"",""drabturquoise"",""mutedgold"")","(B=154,G=17,R=77,A=255)"
fadedlime,"((""vibrantolive"", 5))","(""dimsalmon"",""drabgold"",""brightmagenta"")","(B=91,G=49,R=96,A=255)"
dimmagenta,"((""vibrantgreen"", 3),(""vibrantolive"", 1))","(""dottedolive"",""wavyturquoise"")","(B=88,G=229,R=213,A=255)"
lightsalmon,"((""dimturquoise"", 1),(""mutedtomato"", 1),(""brightblack"", 4),(""poshyellow"", 5))",,"(B=73,G=116,R=195,A=255)"
brightbronze,"((""paleblack"", 4),(""mirroredmaroon"", 2))","(""mutedbeige"")","(B=231,G=18,R=100,A=255)"
stripedyellow,"((""mirroredred"", 5),(""lighttan"", 3),(""vibrantteal"", 4))","(""vibrantsilver"")","(B=143,G=188,R=18,A=255)"
darkteal,"((""poshyellow"", 5),(""dullplum"", 4),(""mutedplum"", 3),(""mirroredbeige"", 5))","(""palebeige"")","(B=173,G=220,R=110,A=255)"
plaidgreen,"((""mirroredyellow"", 4),(""darkaqua"", 4),(""mutedgray"", 2))",,"(B=73,G=159,R=68,A=255)"
brightred,"((""fadedolive"", 2),(""drabolive"", 5),(""stripedlime"", 1))","(""plaidviolet"")","(B=76,G=117,R=31,A=255)"
lightplum,"((""palecoral"", 2))","(""mutedtomato"",""dottedaqua"",""brightlime"",""mirroredchartreuse"",""drabgreen"",""drabpurple"")","(B=122,G=6,R=206,A=255)"
wavyyellow,"((""poshplum"", 3),(""dottedchartreuse"", 2),(""dottedmagenta"", 4))","(""palefuchsia"")","(B=36,G=51,R=89,A=255)"
drabbrown,"((""clearblue"", 2))","(""poshturquoise"")","(B=133,G=148,R=158,A=255)"
poshpurple,"((""lightcoral"", 4),(""dimaqua"", 1))",,"(B=34,G=160,R=45,A=255)"
fadedbrown,"((""fadedsalmon"", 2),(""stripedcrimson"", 5))","(""wavylime"")","(B=146,G=55,R=130,A=255)"
darkblue,"((""palebrown"", 4),(""mirroredgray"", 1))","(""dullgray"",""stripedsilver"",""dullturquoise"",""lightgold"")","(B=208,G=106,R=224,A=255)"
mirroredgold,"((""wavygold"", 2),(""mutedgray"", 4),(""drabolive"", 5))","(""dimblack"")","(B=98,G=218,R=153,A=255)"
mutedtomato,"((""brightviolet"", 1),(""paleplum"", 5),(""lightplum"", 5))","(""lightsalmon"",""lightcrimson"")","(B=3,G=119,R=2,A=255)"
wavytomato,"((""dimbeige"", 4),(""fadedorange"", 5))","(""lightfuchsia"")","(B=135,G=112,R=105,A=255)"
clearaqua,"((""dulllime"", 1),(""clearviolet"", 1),(""dimtan"", 2),(""brightgray"", 3))","(""palered"",""vibrantblue"",""wavyolive"",""drabgreen"")","(B=31,G=240,R=208,A=255)"
clearviolet,"((""poshbrown"", 4),(""stripedfuchsia"", 2))","(""clearaqua"",""paleolive"",""mirroredtan"",""darkbeige"",""darkgray"",""fadedteal"",""clearsilver"",""shinychartreuse"",""vibrantpurple"",""clearwhite"")","(B=35,G=158,R=208,A=255)"
plaidyellow,"((""palefuchsia"", 1),(""mirroredpurple"", 1),(""fadedpurple"", 4))","(""brightcrimson"")","(B=216,G=103,R=158,A=255)"
mutedlime,"((""dottedlavender"", 3),(""fadedturquoise"", 1),(""plaidchartreuse"", 1))","(""drabtomato"",""clearturquoise"")","(B=178,G=150,R=36,A=255)"
brightorange,"((""shinyaqua"", 1),(""mirroredsalmon"", 2),(""poshred"", 3))","(""mutedcrimson"",""plaidbronze"")","(B=162,G=223,R=14,A=255)"
palecyan,"((""dimorange"", 3),(""drablavender"", 4),(""brightcoral"", 2),(""lightwhite"", 5))","(""vibrantlime"",""posholive"")","(B=192,G=255,R=168,A=255)"
darkmagenta,"((""dullsalmon"", 5),(""drabcyan"", 1),(""dottedmaroon"", 1),(""dimtomato"", 1))","(""dottedtomato"",""stripedblack"",""dottedbrown"",""mutedturquoise"",""dullmaroon"")","(B=1,G=179,R=14,A=255)"
plaidchartreuse,"((""dottedorange"", 5),(""vibrantmaroon"", 2),(""dottedlavender"", 1))","(""mutedlime"",""fadedolive"")","(B=92,G=210,R=227,A=255)"
dottedtomato,"((""mutedbronze"", 2),(""darkmagenta"", 1))",,"(B=238,G=22,R=168,A=255)"
mutedtan,"((""plaidtan"", 2))","(""poshaqua"",""mutedaqua"")","(B=235,G=87,R=214,A=255)"
poshmagenta,"((""vibrantred"", 2),(""mutedgray"", 4),(""vibrantmaroon"", 2))","(""wavyturquoise"",""plaidlavender"",""dulltomato"",""vibrantchartreuse"")","(B=23,G=140,R=168,A=255)"
brightpurple,"((""brightgray"", 4),(""plaidtomato"", 2))",,"(B=73,G=145,R=104,A=255)"
drabchartreuse,"((""lightblue"", 1),(""drabgray"", 3),(""dimtan"", 1),(""poshcrimson"", 5))","(""paletan"",""dullblue"",""darkpurple"",""shinychartreuse"",""fadedviolet"",""wavychartreuse"")","(B=234,G=116,R=233,A=255)"
shinywhite,"((""dullbeige"", 5))","(""paleaqua"",""clearcyan"",""poshturquoise"")","(B=176,G=195,R=105,A=255)"
brightcyan,"((""shinytomato"", 4),(""mutedlavender"", 1))","(""shinygray"",""darkgray"",""poshmaroon"",""dimyellow"",""palemagenta"",""darkbrown"",""drabpurple"")","(B=235,G=37,R=84,A=255)"
fadedblue,"((""vibrantaqua"", 3),(""mutedorange"", 3))","(""paleindigo"",""vibrantwhite"",""mirroredbronze"",""vibrantolive"",""mirroredmaroon"",""brightviolet"",""darkcyan"",""palesalmon"",""palecoral"",""shinytomato"",""drabsilver"",""mirroredolive"")","(B=185,G=208,R=16,A=255)"
lightcyan,"((""mirroredmagenta"", 4),(""dottedturquoise"", 1))",,"(B=103,G=158,R=199,A=255)"
wavysalmon,"((""cleartan"", 3),(""dullbronze"", 1))","(""mirroredtan"",""mirroredlavender"",""plaidcoral"",""darkfuchsia"")","(B=159,G=206,R=34,A=255)"
paleindigo,"((""fadedblue"", 2),(""paleyellow"", 2),(""dimtomato"", 5),(""darkcoral"", 5))",,"(B=252,G=8,R=151,A=255)"
paleolive,"((""mutedolive"", 5),(""dimolive"", 4),(""clearviolet"", 5))",,"(B=227,G=233,R=151,A=255)"
shinybrown,"((""darkgreen"", 1),(""vibrantolive"", 3),(""wavyindigo"", 1))","(""dottedcoral"",""poshtan"")","(B=119,G=84,R=34,A=255)"
shinycoral,"((""brightviolet"", 5))","(""stripedtomato"")","(B=197,G=75,R=79,A=255)"
poshplum,"((""palecoral"", 3),(""dullgreen"", 1),(""plaidcyan"", 1),(""shinyorange"", 4))","(""wavyyellow"",""dottedtan"",""dottedviolet"",""dottedblack"",""mutedred"")","(B=132,G=76,R=210,A=255)"
shinysilver,"((""dottedbrown"", 3),(""brighttomato"", 3),(""poshtomato"", 2))","(""darksilver"")","(B=212,G=183,R=154,A=255)"
wavygold,"((""brightgray"", 1),(""shinyfuchsia"", 1))","(""mirroredgold"")","(B=2,G=130,R=170,A=255)"
vibrantyellow,"((""poshlavender"", 2),(""palepurple"", 1),(""mutedplum"", 5),(""fadedchartreuse"", 3))","(""dottedsilver"",""dullmagenta"",""fadedgray"",""plaidplum"")","(B=16,G=43,R=96,A=255)"
drabblue,"((""drabsilver"", 4),(""brightplum"", 4))","(""vibrantmaroon"",""vibranttan"",""mutedblue"",""fadedplum"",""drabcyan"",""poshblack"",""mirroredaqua"")","(B=221,G=81,R=161,A=255)"
vibrantturquoise,"((""brightmaroon"", 2))","(""mirroredbeige"",""mutedcrimson"",""posholive"")","(B=20,G=74,R=9,A=255)"
paleviolet,"((""fadedviolet"", 5))","(""poshtan"")","(B=107,G=117,R=8,A=255)"
darkbronze,"((""fadedindigo"", 4),(""mutedyellow"", 5))","(""shinymaroon"")","(B=214,G=27,R=174,A=255)"
shinyviolet,"((""brightlime"", 2),(""dullmagenta"", 5))","(""stripedsilver"",""fadedsilver"",""mutedchartreuse"",""drabturquoise"",""lightsilver"",""mutedsalmon"",""wavyorange"")","(B=64,G=105,R=183,A=255)"
stripedtomato,"((""wavyindigo"", 1),(""shinycoral"", 5),(""vibrantbronze"", 5))",,"(B=8,G=66,R=9,A=255)"
dullyellow,"((""mutedteal"", 3),(""dimgreen"", 1),(""palebrown"", 4))",,"(B=200,G=251,R=151,A=255)"
shinylime,"((""mutedyellow"", 5),(""drabgray"", 1),(""fadedyellow"", 2),(""palemagenta"", 1))","(""palegray"")","(B=255,G=159,R=201,A=255)"
vibranttan,"((""vibrantlime"", 1),(""drabblue"", 1),(""darkmaroon"", 5))","(""mirroredblack"")","(B=60,G=126,R=89,A=255)"
wavycoral,"((""cleargold"", 1),(""drabtan"", 2),(""plaidmagenta"", 1),(""palelime"", 2))",,"(B=126,G=209,R=134,A=255)"
brightbeige,"((""brightviolet"", 3))","(""clearplum"")","(B=241,G=68,R=90,A=255)"
dimsilver,"((""brightplum"", 4))","(""poshviolet"",""vibrantviolet"",""clearbeige"",""poshgreen"",""fadedred"",""poshlavender"",""mirroredbrown"",""dullmaroon"")","(B=226,G=39,R=208,A=255)"
plaidbeige,"((""dottedturquoise"", 4),(""shinysalmon"", 5),(""palered"", 2))",,"(B=17,G=130,R=172,A=255)"
wavybrown,"((""lightyellow"", 4),(""darkcoral"", 1),(""darkolive"", 2),(""vibrantteal"", 4))","(""darkwhite"")","(B=209,G=93,R=211,A=255)"
palegray,"((""fadedcyan"", 5),(""shinylime"", 2),(""stripedblue"", 3),(""drabpurple"", 5))","(""dottedlime"")","(B=22,G=54,R=64,A=255)"
vibrantwhite,"((""drabgray"", 3),(""fadedblue"", 4),(""clearwhite"", 2),(""dulltan"", 1))",,"(B=127,G=141,R=238,A=255)"
lightlime,"((""mutedwhite"", 3),(""darkfuchsia"", 2))",,"(B=177,G=13,R=83,A=255)"
darkyellow,"((""vibrantmaroon"", 3))",,"(B=201,G=32,R=104,A=255)"
vibrantindigo,"((""darkolive"", 4),(""lightpurple"", 5))",,"(B=186,G=155,R=31,A=255)"
fadedyellow,"((""poshbrown"", 1),(""lightblue"", 2),(""mirroredteal"", 4),(""dullcrimson"", 1))","(""shinylime"",""poshaqua"")","(B=247,G=106,R=52,A=255)"
mirroredbronze,"((""brightblack"", 3),(""fadedblue"", 4),(""stripedsalmon"", 3),(""mirroredolive"", 4))","(""poshsalmon"")","(B=200,G=166,R=88,A=255)"
palechartreuse,"((""dimaqua"", 3),(""mirroredlime"", 4))",,"(B=191,G=193,R=65,A=255)"
plaidgray,"((""vibrantaqua"", 1))",,"(B=37,G=210,R=83,A=255)"
palefuchsia,"((""wavyyellow"", 5),(""dottedbrown"", 3),(""mutedblack"", 3),(""dottedturquoise"", 1))","(""plaidyellow"")","(B=110,G=156,R=27,A=255)"
vibrantolive,"((""fadedtan"", 1),(""drabsilver"", 3),(""mutedbrown"", 4),(""fadedblue"", 2))","(""fadedlime"",""dimmagenta"",""shinybrown"",""cleargold"",""clearfuchsia"",""plaidteal"")","(B=253,G=6,R=186,A=255)"
dottedolive,"((""plaidgold"", 3),(""mirroredsalmon"", 5),(""dimmagenta"", 2))",,"(B=19,G=42,R=231,A=255)"
mutedpurple,"((""mutedmagenta"", 2))","(""brightblue"")","(B=116,G=7,R=55,A=255)"
dimteal,"((""dottedmaroon"", 2))","(""cleargold"",""brightaqua"")","(B=118,G=64,R=118,A=255)"
mirroredred,"((""dimtan"", 3),(""clearblack"", 5),(""fadedviolet"", 3),(""mirroredolive"", 1))","(""stripedyellow"",""fadedmaroon"",""cleargray"",""brightsilver"",""dulltomato"",""clearplum"",""dottedbeige"")","(B=28,G=158,R=218,A=255)"
darklime,"((""mirroredviolet"", 3))","(""darksilver"")","(B=195,G=132,R=158,A=255)"
shinybeige,"((""dimyellow"", 1),(""mirroredcoral"", 2),(""brightsalmon"", 2),(""vibrantbrown"", 5))",,"(B=89,G=199,R=206,A=255)"
dimgold,"((""shinygold"", 1))","(""dottedmagenta"",""fadedteal"",""mirroredlavender"",""clearblue"")","(B=255,G=122,R=87,A=255)"
mirroredmaroon,"((""fadedblue"", 1))","(""wavygreen"",""brightbronze"",""drabred"",""clearsilver"",""lightyellow"")","(B=49,G=201,R=250,A=255)"
shinyolive,"((""plaidolive"", 5),(""mutedsilver"", 3))","(""vibrantplum"")","(B=51,G=93,R=112,A=255)"
wavypurple,"((""dimcyan"", 3),(""dottedwhite"", 2),(""darkcoral"", 4))",,"(B=1,G=253,R=66,A=255)"
drabfuchsia,"((""dullgold"", 4),(""mutedyellow"", 3),(""mutedorange"", 4),(""fadedfuchsia"", 4))","(""dottedlime"",""brightteal"",""wavyfuchsia"",""vibrantviolet"",""brightsilver"",""stripedlime"")","(B=65,G=120,R=42,A=255)"
drabbeige,"((""plaidolive"", 2))",,"(B=16,G=5,R=232,A=255)"
vibrantcoral,"((""mirroredcyan"", 3))",,"(B=159,G=117,R=60,A=255)"
dullsalmon,"((""shinygold"", 2))","(""darkmagenta"",""paleblue"",""poshmaroon"",""wavyteal"",""wavycrimson"",""shinyblack"")","(B=44,G=190,R=8,A=255)"
lightchartreuse,"((""plaidcyan"", 3))",,"(B=213,G=186,R=130,A=255)"
stripedsilver,"((""shinyviolet"", 3),(""darkblue"", 3))","(""darkindigo"",""stripedmagenta"",""paleaqua"")","(B=16,G=188,R=68,A=255)"
darkindigo,"((""lightbeige"", 3),(""wavywhite"", 3),(""lightblack"", 2),(""stripedsilver"", 4))","(""clearindigo"")","(B=25,G=138,R=196,A=255)"
dottedorange,"((""dullbronze"", 2),(""vibrantred"", 3),(""dullgold"", 5),(""shinyyellow"", 3))","(""plaidchartreuse"",""brightolive"",""mutedcrimson"")","(B=255,G=105,R=10,A=255)"
dottedfuchsia,"((""vibrantcyan"", 1),(""dottedcrimson"", 4))",,"(B=122,G=12,R=14,A=255)"
shinyturquoise,"((""darkaqua"", 1),(""darkcyan"", 4))",,"(B=204,G=48,R=86,A=255)"
poshbeige,"((""shinypurple"", 1))","(""drabviolet"")","(B=216,G=75,R=82,A=255)"
shinytan,"((""brightviolet"", 2),(""fadedorange"", 5),(""mirroredcyan"", 2))","(""mutedcyan"")","(B=251,G=65,R=123,A=255)"
fadedmaroon,"((""darkred"", 1),(""mirroredred"", 1))","(""dottedpurple"",""poshwhite"",""drabwhite"")","(B=155,G=14,R=159,A=255)"
cleartomato,"((""mirroredteal"", 4),(""poshturquoise"", 2))",,"(B=196,G=77,R=78,A=255)"
palebeige,"((""palesalmon"", 2),(""darkteal"", 5),(""shinychartreuse"", 4),(""stripedgreen"", 5))",,"(B=105,G=132,R=116,A=255)"
dullred,"((""paleplum"", 1))",,"(B=157,G=245,R=128,A=255)"
stripedsalmon,"((""drabcyan"", 4),(""lightyellow"", 5),(""vibrantorange"", 4),(""darkgold"", 4))","(""mirroredbronze"",""fadedtomato"",""brightmagenta"",""palesalmon"")","(B=206,G=17,R=213,A=255)"
dulllavender,"((""paleblue"", 3),(""clearblue"", 5))","(""poshgray"",""clearindigo"",""shinyindigo"")","(B=127,G=40,R=211,A=255)"
dimred,"((""vibrantbronze"", 3),(""dottedgray"", 3))","(""paleblue"",""dimaqua"",""poshcoral"",""stripedolive"",""paleturquoise"")","(B=24,G=174,R=131,A=255)"
lightorange,"((""plaidteal"", 2),(""dullbrown"", 2),(""darkbrown"", 3))","(""lightfuchsia"")","(B=101,G=127,R=173,A=255)"
dottedsilver,"((""vibrantyellow"", 1),(""palelime"", 4),(""palecrimson"", 4))","(""dullcyan"")","(B=231,G=127,R=209,A=255)"
mirroredgray,"((""darkcoral"", 1),(""mirroredcrimson"", 2),(""lightyellow"", 3),(""dullcrimson"", 5))","(""darkblue"",""wavymagenta"",""brightindigo"",""wavyolive"",""drabteal"",""poshgold"")","(B=41,G=230,R=121,A=255)"
lightblack,"((""drabtan"", 1),(""drablavender"", 3))","(""darkindigo"")","(B=171,G=184,R=192,A=255)"
plaidpurple,"((""cleartan"", 4),(""dimyellow"", 3))","(""lightred"")","(B=27,G=30,R=246,A=255)"
mirroredtan,"((""darkolive"", 2),(""clearviolet"", 4),(""wavysalmon"", 5))","(""drabaqua"",""shinysalmon"",""plaidaqua"")","(B=22,G=97,R=133,A=255)"
darksilver,"((""shinysilver"", 3),(""darklime"", 3))","(""poshgold"")","(B=220,G=220,R=247,A=255)"
darkviolet,"((""fadedviolet"", 3),(""dullplum"", 1),(""drabsilver"", 1),(""palepurple"", 1))","(""fadedmagenta"",""dullgray"",""lightbrown"",""dulltomato"",""vibrantteal"",""plaidcrimson"")","(B=82,G=39,R=130,A=255)"
drabmagenta,"((""darkaqua"", 1),(""mutedmaroon"", 2),(""drabgreen"", 5))","(""lightteal"",""plaidtomato"",""dottedpurple"",""brightaqua"",""lightolive"",""wavycrimson"",""darkred"")","(B=113,G=137,R=120,A=255)"
palegreen,"((""poshred"", 5),(""lightfuchsia"", 1),(""dottedchartreuse"", 2))",,"(B=37,G=158,R=154,A=255)"
mirroredbeige,"((""vibrantturquoise"", 4),(""mutedyellow"", 4),(""fadedcyan"", 5),(""drabpurple"", 2))","(""darkteal"",""shinybronze"")","(B=227,G=129,R=89,A=255)"
stripedaqua,"((""clearblack"", 4),(""stripedindigo"", 3))",,"(B=65,G=92,R=46,A=255)"
mirroredcrimson,"((""dullgold"", 2),(""wavyblue"", 5),(""brightplum"", 2),(""shinyyellow"", 4))","(""mirroredgray"",""dottedturquoise"")","(B=128,G=26,R=199,A=255)"
stripedcrimson,"((""clearblue"", 3))","(""fadedbrown"")","(B=120,G=57,R=10,A=255)"
mutedlavender,"((""drabcoral"", 1),(""dullgold"", 2),(""poshcrimson"", 2),(""mirroredgreen"", 1))","(""brightcyan"",""cleartan"",""dottedgray"",""mutedbrown"",""palepurple"",""shinylavender"",""mirroredwhite"",""dimbeige"")","(B=59,G=29,R=125,A=255)"
lighttomato,"((""dullblack"", 3),(""poshwhite"", 5))",,"(B=158,G=110,R=218,A=255)"
paletan,"((""clearyellow"", 1),(""vibrantaqua"", 2),(""wavyred"", 1),(""drabchartreuse"", 2))","(""brightplum"",""darkplum"",""fadedbeige"",""poshturquoise"",""paleplum"")","(B=197,G=72,R=247,A=255)"
dottedplum,"((""shinytomato"", 4),(""mirroredolive"", 1),(""poshturquoise"", 2),(""fadedbronze"", 1))",,"(B=86,G=183,R=76,A=255)"
vibrantbronze,"((""vibrantaqua"", 1))","(""stripedfuchsia"",""stripedtomato"",""dimred"",""dottedgray"",""drabtan"",""dullaqua"",""mutedgray"")","(B=135,G=233,R=167,A=255)"
cleartan,"((""vibrantaqua"", 5),(""drabcoral"", 1),(""mutedlavender"", 4),(""mutedorange"", 1))","(""wavysalmon"",""plaidpurple"",""fadedviolet"",""shinytomato"",""brightbrown"")","(B=126,G=170,R=33,A=255)"
darkbeige,"((""dullgreen"", 5),(""clearviolet"", 5),(""palecoral"", 1),(""palesilver"", 3))","(""drabblack"")","(B=65,G=201,R=215,A=255)"
wavyplum,"((""lightteal"", 4),(""shinyaqua"", 4),(""lightolive"", 2),(""lightblue"", 4))","(""poshorange"")","(B=139,G=33,R=103,A=255)"
stripedturquoise,"((""palesalmon"", 2),(""mutedorange"", 3),(""poshlavender"", 3))","(""dimwhite"",""wavysilver"")","(B=125,G=86,R=147,A=255)"
mirroredturquoise,"((""vibrantlavender"", 3))",,"(B=251,G=218,R=131,A=255)"
cleargray,"((""darkcyan"", 3),(""mirroredred"", 2),(""wavyteal"", 2))",,"(B=251,G=107,R=166,A=255)"
wavyviolet,"((""darkfuchsia"", 1))",,"(B=156,G=252,R=195,A=255)"
clearcrimson,"((""palered"", 1))",,"(B=113,G=136,R=26,A=255)"
fadedpurple,"((""shinyblack"", 1),(""mirroredwhite"", 2))","(""plaidyellow"")","(B=232,G=0,R=211,A=255)"
brightwhite,"((""dottedmaroon"", 5),(""wavyaqua"", 1))","(""stripedbrown"",""clearbeige"",""stripedbronze"")","(B=71,G=125,R=16,A=255)"
palebronze,"((""dullteal"", 5))",,"(B=111,G=0,R=196,A=255)"
brightteal,"((""mirroredaqua"", 1),(""drabfuchsia"", 5))",,"(B=96,G=21,R=87,A=255)"
poshsilver,"((""dimgray"", 5),(""vibrantbeige"", 5),(""mutedgreen"", 2))",,"(B=11,G=26,R=161,A=255)"
poshchartreuse,"((""palebrown"", 3))","(""stripedcyan"")","(B=124,G=100,R=102,A=255)"
dottedpurple,"((""fadedindigo"", 5),(""drabmagenta"", 4),(""shinychartreuse"", 5),(""fadedmaroon"", 3))","(""mirroredviolet"",""stripedmagenta"",""plaidlime"")","(B=58,G=182,R=185,A=255)"
dimfuchsia,"((""lightblue"", 3),(""mutedyellow"", 3))","(""lightmaroon"",""vibrantorange"",""darksalmon"")","(B=78,G=103,R=28,A=255)"
darkcoral,"((""dullcrimson"", 4),(""mutedbrown"", 3))","(""paleindigo"",""wavybrown"",""wavypurple"",""mirroredgray"",""palewhite"",""dullfuchsia"",""paleblack"")","(B=235,G=55,R=215,A=255)"
fadedcrimson,"((""mutedteal"", 1))","(""plaidred"")","(B=82,G=76,R=165,A=255)"
mirroredorange,"((""dullbronze"", 3),(""dullgold"", 5),(""dimgray"", 4),(""dottedgreen"", 1))","(""lightaqua"")","(B=108,G=200,R=237,A=255)"
fadedaqua,"((""lightgray"", 1))",,"(B=237,G=200,R=71,A=255)"
vibrantmagenta,"((""darkaqua"", 1))","(""fadedtomato"",""plaidindigo"",""fadedlavender"",""stripedmaroon"")","(B=43,G=125,R=164,A=255)"
lightfuchsia,"((""lightorange"", 4),(""mutedchartreuse"", 5),(""wavytomato"", 3),(""dottedviolet"", 1))","(""palegreen"")","(B=78,G=53,R=96,A=255)"
lightcoral,"((""plaidtan"", 5))","(""poshpurple"",""stripedmagenta"",""drabred"")","(B=124,G=240,R=84,A=255)"
dimlavender,"((""palepurple"", 1))","(""lighttan"",""mutedfuchsia"",""drabteal"",""fadedlavender"",""wavywhite"")","(B=124,G=174,R=141,A=255)"
shinygray,"((""shinypurple"", 5),(""vibrantgreen"", 5),(""brightcyan"", 1),(""lightblue"", 5))","(""mirroredlime"",""wavyblack"")","(B=129,G=234,R=202,A=255)"
wavyturquoise,"((""lightwhite"", 1),(""poshmagenta"", 4),(""dimmagenta"", 5))","(""brighttomato"",""dottedblack"",""clearbeige"",""shinybronze"",""mirroredbrown"",""plaidbronze"")","(B=137,G=111,R=243,A=255)"
dimsalmon,"((""fadedviolet"", 5),(""fadedlime"", 1))","(""dullmaroon"")","(B=187,G=33,R=220,A=255)"
wavybronze,"((""plaidmagenta"", 4))",,"(B=49,G=5,R=60,A=255)"
clearblack,"((""shinylavender"", 1))","(""mirroredred"",""stripedaqua"",""fadedgold"",""mirroredblue"",""palecrimson"",""lightindigo"",""mutedbronze"",""mutedteal"")","(B=175,G=126,R=38,A=255)"
stripedmagenta,"((""shinycyan"", 5),(""dottedpurple"", 3),(""stripedsilver"", 4),(""lightcoral"", 3))",,"(B=104,G=246,R=217,A=255)"
stripedgray,"((""fadedplum"", 3),(""stripedfuchsia"", 2),(""dimgray"", 1))","(""vibrantbrown"")","(B=254,G=11,R=208,A=255)"
wavycyan,"((""stripedindigo"", 1))",,"(B=45,G=195,R=69,A=255)"
fadedfuchsia,"((""stripedfuchsia"", 2))","(""drabfuchsia"",""fadedolive"",""clearchartreuse"",""vibrantpurple"")","(B=233,G=147,R=7,A=255)"
