ID,Min,Max,Letter,Password
49,8,9,s,sscplbswssssglxs
50,14,15,j,jjjhjjjjjjxjjjj
51,1,4,q,qnqj
52,3,5,d,qpdddqvwbzldf
53,14,15,b,bbbbbbbbbbbbbbt
54,1,2,t,tdxt
55,1,7,g,dlpkvrgjzpnr
56,3,11,m,lmnwjjxpfmm
57,3,8,l,llglllllll
58,2,4,r,gfmrlbmsvqzrmbnd
59,5,9,s,srsqssssds
60,8,9,v,vvvvmvvvhw
61,7,10,d,mddwdvjdcdwdcgddd
62,4,7,k,fksjkkkk
63,6,9,t,fnrxmlwtt
64,11,12,d,dddddddddfmd
65,4,5,z,zzdzzzz
66,11,13,z,zzzzzzzzzzpzmzzz
67,12,14,z,zrgnvcrxkzzzrb
68,10,13,q,qpqqqqqrqxvqq
69,6,10,g,gglggggggzgggg
70,2,8,j,jfqjrdjjjjjj
71,7,8,z,hzlvrczjp
72,4,5,k,kggjkl
73,4,7,m,mpmmmcmm
74,13,14,x,xxxxxxzxxxxxxw
75,6,7,n,znnnnnlpjcn
76,10,16,g,gggzvgggntggfgghggg
77,2,17,n,hnchrpvzhkdsnhgcnfql
78,2,8,f,fkfpffff
79,4,7,s,qwdspspj
80,6,7,r,rrrrrnx
81,7,8,p,wpppppsp
82,8,10,m,mmmwmjmmmvmzpm
83,6,7,j,jjjjjncd
84,3,4,k,kxkk
85,2,4,z,czzmzz
86,11,12,t,tttttttttttzkp
87,10,17,t,ttttvtltdttrqtztr
88,3,6,n,nnnnvvxv
89,7,8,v,rvvpvvvpsvv
90,1,2,r,nkfgnr
91,4,11,c,cccbccclcccc
92,7,12,q,qpbqtqkqqqqqqq
93,2,7,m,mfmmmmmmxmnm
94,10,11,n,bnnnpnnncxrnnnn
95,10,14,n,nsnnnnnwljnsnnn
96,5,9,b,vcvcblrxbvjbtzbrmbr
97,3,9,m,kmmmmxmmkmmk
98,2,10,l,llbllgzllnlll
99,5,6,d,ddpdwdddxhpdqd
100,12,18,j,cjfbjccqgxlczjptqlk
101,1,3,z,mzzz
102,5,11,m,mdfmmmmtmgw
103,2,14,h,nhhnbhghhlhhchsqsr
104,3,4,t,jvtt
105,2,8,t,tttkxxtsttht
106,7,15,w,wwwwfwwwwwwrbww
107,1,4,j,rbjj
108,8,12,f,ffkhffffcsfzff
109,10,12,p,pppcgpqphprh
110,10,11,l,lllllllllsl
111,7,8,s,svsssssss
112,4,5,c,cvjcc
113,1,5,v,vcdcd
114,5,14,z,zzwkzztzzzzzbzzvzzz
115,11,12,s,sssssssssssps
116,5,7,b,spmtbpn
117,5,6,c,cccccf
118,10,12,p,ptpppppppppk
119,4,13,f,ffkffffkffflb
120,2,5,t,nttqftpnwbjbxmqdqv
121,17,18,w,wwwwtwwwwwwwwwwwkwww
122,7,9,f,lmrffdbffvfmf
123,2,5,h,hhhvzrhh
124,10,11,q,qmdrdfqgzql
125,3,11,g,ggggggggggm
126,4,5,z,zzzrzzp
127,5,7,w,wwwwkwwww
128,10,11,f,ffffffffffp
129,6,9,v,vvvvvvvmv
130,4,5,x,wjxxxxxtd
131,12,13,p,vppppppppppzbp
132,2,7,b,bqntbls
133,15,16,p,ppppppppppppzpfxn
134,2,3,b,bbcnbq
135,10,11,k,kkkklkmkkhk
136,4,6,w,wwwdjb
137,4,6,b,sczlwbnffbnxbvjbmj
138,3,17,m,jmmlmmmgmmmjmmmmmlmm
139,6,18,z,zmkwvzkpqzmzdfgdvt
140,5,6,q,sqwqqq
141,1,3,g,gjgt
142,5,8,x,bxcxxzxxws
143,4,5,c,rnscvcngbcmpddkcvctk
144,7,11,g,ggggglvgggngg
145,2,11,l,lsqlzlllllklgfl
146,2,9,m,cmqkbmdxp
147,6,7,w,wwwwwww
148,8,13,q,qbqzqqqqqlqqw
149,3,4,n,sfqnnnwvzn
150,1,2,w,nwww
151,2,4,v,hvvbqgnfl
152,14,15,m,gjgdmmmmkmqqcxmrsm
153,2,3,z,zzzx
154,5,13,q,qqqqdqqqqqtqjqq
155,4,5,z,zzzzk
156,5,6,t,tttttf
157,3,6,z,ztwzczkz
158,3,5,l,llpljllllllll
159,2,3,s,ssscp
160,8,10,d,dddddddwdddddwddg
161,2,6,s,sbssps
162,1,5,f,ffbfvfxbkmbhvbcfmxpf
163,1,6,j,gqfrmjgsgjjhcjhn
164,2,5,l,lwvllll
165,2,5,z,zkzhzb
166,10,11,s,wsblfxvmvsslbhfjtsws
167,11,17,f,fffffffxfffffffftfff
168,4,5,r,rrrkbrr
169,7,10,w,qwqwwwgzrdxww
170,6,8,s,ssssssscs
171,4,6,q,qbqwqzfqcfgkmzqxb
172,6,10,t,ttncfqqtttttp
173,2,4,m,bbzcjjqmfvln
174,4,7,n,cnqhntshdnnrnrnz
175,7,12,d,vmdndkzpmcbd
176,6,7,p,tpqpppzpjp
177,3,10,r,rgrrrpzrbrrr
178,2,15,h,ghbfhbgrtxrshphhl
179,2,6,j,pjjjjlj
180,6,9,j,rjrjjjwfjn
181,10,13,s,sssssssssjsssssss
182,1,6,c,crnjccgnw
183,6,7,l,qrllgql
184,12,13,z,wzzzzzzzzzzfz
185,1,2,c,ccclc
186,2,6,f,qdlflfr
187,4,10,r,drrrrrwrfrr
188,5,6,f,ffzffnf
189,4,6,p,hkppkbppp
190,8,9,r,rrrrrrrrx
191,4,12,f,fffffffffffwqp
192,4,6,q,qtqtjq
193,4,5,w,wwwcw
194,2,3,r,qrrr
195,7,10,k,nkpgzskkrb
196,6,9,h,hmsshhhwhhhhh
197,2,18,d,kxqddddqddsmddcdddwd
198,6,7,s,sssssssss
199,4,8,h,hhhbthhhhh
200,1,8,d,dtsbqtrpwdgfdzrtf
201,6,7,b,bbbbbwp
202,5,6,p,ppnpqjp
203,4,13,l,rtqpmllslrlxcblldqtc
204,3,4,m,wmmkcm
205,4,16,b,qkbvbvgxtlqbgmwc
206,4,5,h,hhhlghh
207,10,11,f,fjfffffffgjff
208,9,12,w,gwnfvwwrwswnqrvg
209,4,8,k,pjkkfkbqqzkmfk
210,2,8,x,xwxxxxxcxxx
211,11,19,w,wwwwwdjwwwrrwwlvwwww
212,4,14,w,rwqhwqwwlhpwfwwpww
213,7,9,j,vjjjjqdjjjjjj
214,15,17,x,kxrmxjvxxxvxxxzxxxf
215,3,10,p,pwpxppzgdrrx
216,1,5,p,ppppp
217,10,19,n,vfnwnjstnnjnqnngnzs
218,2,5,m,phsmq
219,5,6,m,mmmmxmm
220,2,12,f,tftgcmcblzcljsdlbvf
221,6,11,b,hbbbbbbbzhwbtbbhmrb
222,7,11,j,jjjjjjvjjjq
223,3,4,d,dddgddnmd
224,11,14,f,fxfffffftqfflffffpf
225,14,16,x,xxxxxcxxxxjgxxvt
226,6,7,h,hhhhhht
227,7,8,h,hhhhhhzphhhh
228,5,12,w,wfwwwjzwmpxwmw
229,2,7,h,chcjhhqhdlfshxvhz
230,7,15,h,hjhhjvhhhhqmhdhjh
231,1,2,f,bvhf
232,4,6,k,rkctkkm
233,5,6,n,nnnnnn
234,10,11,j,jjjjjjjcjjs
235,4,7,b,bbgbnkp
236,2,5,d,dddddjvddxdk
237,11,19,z,svzzgzzmzznzzzkcdzzz
238,8,9,z,zzzzzgzmz
239,4,10,v,vsvvvvnvsr
240,5,15,v,mvqvvkjfvwdvvdl
241,13,14,s,ssssssqzszssmk
242,3,4,w,wbwg
243,10,11,d,kdbdcddqddxdddd
244,8,9,t,tttttttntt
245,2,10,m,mqmmmmmmmm
246,3,8,c,bcswcncchpxcxcrccrx
247,4,10,q,qqqplwsfxgq
248,15,16,h,hhqhhhhhhvhhhhhthhhh
249,11,13,s,sssxssswsswsr
250,6,7,z,zzzzhvzz
251,3,4,j,ktjdxsjjxjtnq
252,5,7,w,wwxwlwwr
253,2,5,l,llltll
254,2,6,m,qmgvtmtp
255,11,16,v,vvvgvvlvhvvvvvvvvvgv
256,2,4,j,jsnjf
257,11,12,g,gdlcvdgzgqpg
258,10,12,x,rxxcxxxxxrrxx
259,9,12,n,nnnnnnnncdnn
260,6,10,j,vjjjpjhjjs
261,5,6,d,dcdddt
262,3,13,c,cccccvctcbvcvpcccc
263,1,7,d,ndddzzdx
264,9,10,w,wwwcwwwwfr
265,9,18,q,xjhsjqqrqpgprjmqqq
266,8,11,b,bprbbbwkbbbb
267,4,14,w,wxcwzsswmsqvfjvjzj
268,5,6,b,wbbmzbbm
269,8,13,f,lpjfsfswfffgfkff
270,1,3,x,vxxx
271,6,7,x,btxxxxcx
272,6,8,r,mwqrrqrrxr
273,7,14,h,hhhhjllhrsxtrhmbbpwh
274,7,10,f,phqzgfwfrpffpzq
275,6,17,d,ddddddddddddxdbdgdd
276,5,11,f,fhfnfflfhjvwvfff
277,11,12,h,hhgbtnkhhhhh
278,2,4,f,fdfgffr
279,5,6,w,wwwwxw
280,4,9,z,zbzzzczzv
281,2,4,k,jfpkc
282,3,4,r,kwgr
283,4,5,k,kkkks
284,5,6,r,rrrdrsr
285,5,6,t,tpwnmttclcrtt
286,18,19,t,ttbwxtxgfsphgtzzplbt
287,1,5,w,tthwwvw
288,10,13,z,mzzzzzwzzzzztz
289,7,10,r,rzrjrfpdrrrcmmrr
290,2,4,w,wwww
291,5,9,m,vksmmzdpsm
292,1,2,q,qqqqqqq
293,1,6,c,pccccn
294,3,8,r,pbchhhrr
295,3,8,v,bfdvkvdvglvn
296,3,6,h,hhhxhshhl
297,4,7,m,mkwpkwmtmm
298,10,11,g,ggggmggggcg
299,1,6,j,jjjjjw
300,4,10,z,zvzzxzzgzzz
301,7,9,k,kkkkkkkkjkkkk
302,4,18,f,vlnfpdzvbqhvsfmhqtf
303,8,11,s,sssssksshsssmhs
304,2,6,b,bbbbbm
305,2,3,h,hhvrlcf
306,10,19,c,mccwczqbjdlgfccnrqc
307,8,12,x,rxxxnxtfxcxxxpx
308,13,14,r,rrrnrrrrrrrrmrr
309,4,11,h,mhzstqhhghhhbhhh
310,10,11,f,fffffffffpf
311,7,8,j,jjjjjjmv
312,5,6,f,fhfffv
313,3,4,z,zzxtzq
314,5,6,v,jvszvzvvg
315,9,13,v,wvvgvdvvvsrjcg
316,10,11,t,pcttrntttttdthtxst
317,1,5,v,vvvvpv
318,6,9,q,qfqqqlqqqqq
319,4,8,f,ffffffmfkkfzpffffvff
320,3,5,n,lnmnnnnnnnn
321,1,5,k,kkwmdkflxtqktmcxdl
322,1,3,z,tnqp
323,15,16,h,hhhnhhhhfhhhhhjhhh
324,2,6,m,mmmxmb
325,7,12,q,qqjqhqfqwqcqqkqmql
326,6,10,s,ssjvrvsgsshsss
327,11,15,n,nnnnnnnnnnrnnnj
328,14,15,x,xxxxvxxxxxkxxxzx
329,9,14,b,bbbbbbpbbqbblbbbb
330,4,12,h,knthjdhlrxtpjwhnhn
331,8,9,v,vvvvvvvjjvvvv
332,2,3,d,dktdvd
333,6,8,z,zzzzzzzx
334,10,13,t,jrjfklzstpxwt
335,4,16,n,mngnnqnbnnwnqrdgk
336,3,5,v,vhqvvn
337,1,4,t,jhtq
338,8,11,f,qfffffqfffff
339,14,15,x,xxxxxxxxxxxxxxx
340,2,12,s,scsstsssmcssswgsw
341,8,13,t,tttttttqttttt
342,8,10,d,ddddddvdfbq
343,9,15,d,sdqpqddddjrdjnj
344,17,19,c,cccccdldcccpbccxgcc
345,6,14,v,lvvvvsvvvvvvvp
346,16,18,p,ppppppppppvpppppppt
347,1,3,v,vkvtzlvrdcvzplznltqs
348,8,10,s,sssssssssns
349,1,3,w,wcwfwxnwwp
350,8,10,v,kvvvvvvvvvkvvv
351,7,11,s,shsssssssns
352,9,10,w,wwwwtwwgkwww
353,1,2,x,vxxn
354,4,9,g,lkgggrcgpg
355,1,5,n,fjrnn
356,4,6,x,xtxzxxx
357,18,19,z,zzzzhvzhzzzzzzzzzsz
358,15,18,p,ppppppppppppppsppppp
359,11,14,h,rdhhhhhhhghhhrh
360,3,9,v,vvvvvvvvqvv
361,4,8,p,bbpmjpplp
362,1,15,n,qndxnnsmnrnsnnnnn
363,7,9,c,cccccctccc
364,2,6,m,xwfnmmn
365,4,16,t,nbttltzvhqjtcgbtttkt
366,7,8,r,rrlrrrrsrbr
367,3,5,h,hhghh
368,3,4,m,mmmxm
369,15,16,k,fckzkjskrkkkdkkl
370,5,6,c,cbsxmh
371,1,6,x,fxxxxxx
372,5,12,d,wdddqrdkwkmdfwd
373,3,10,s,smsqncrsjjdmjdlsls
374,6,7,k,vkkskkjkwkrkkk
375,9,17,z,qwzhqgrnvzzbzlhjz
376,5,6,w,dwwwwp
377,5,8,n,ncvgqnvn
378,5,6,v,vvnvvwvv
379,3,4,x,dxxxsbsxx
380,8,12,t,ttgtshxfmzlc
381,10,17,x,xthkjfxlktkbhdxzx
382,5,8,q,qqtqqqkqq
383,4,10,d,ndddgxvzswlsgdpnrc
384,8,11,h,bgcfhhrkhhb
385,16,19,g,qgdmbghrjhgcvgwpggg
386,3,5,s,fbsqqszkdkqzw
387,9,10,h,hhhhhhhhdhhh
388,15,17,b,bbbbbbbbbtbbbbzbbb
389,11,14,q,qqqhqqqqqqqqqsq
390,4,18,r,rhhrrpghwbqfznflrrr
391,14,15,l,lllllllllllllrl
392,8,14,s,nsfpsrsssnffssjss
393,17,18,k,kkkkkkkkkkklkkkkck
394,1,12,c,cmnccccccccktcc
395,7,14,p,pppppphppppppp
396,1,2,j,jtjq
397,2,6,w,wwpxxrwwwdwwh
398,5,12,p,zspwppnppdghqplnj
399,3,5,h,zhqphfth
400,1,3,q,xqqq
401,4,9,r,qrzrfgpnbj
402,7,8,q,qqqjqqqcqw
403,4,6,m,mmmmmwdmm
404,4,6,s,sqcssgnsrrddgshvbcs
405,2,6,m,mmsgtr
406,3,9,v,wvwvvvmvv
407,3,5,j,jcjvtgjjjxvjjgjbhj
408,4,6,f,qsffzgff
409,8,9,x,nxxbxwfrxx
410,1,7,m,mvmmmbmmljmg
411,5,8,d,pdcdqdddwdl
412,1,3,m,mmgns
413,19,20,r,rrrrrrrrrrrrrrrrrrxr
414,1,4,h,hpghbhkhhr
415,5,9,x,xxxxtxxxxxxxxxxx
416,19,20,p,qvwdwnssfckjczggpghp
417,8,12,k,kkkkkkkfkkkkkkkk
418,10,12,b,cbbbbdbbbqbkbb
419,2,8,n,nkkpnprnfcnnwsmndqnn
420,11,12,d,ddddddvddddvd
421,4,8,j,jjjjjjjqjjl
422,1,3,l,lvdlslllhllsg
423,12,15,j,jzjjjjjkjpjjjjqf
424,6,9,s,sssssssssssss
425,1,2,z,xzzcnjrzzzzzzz
426,5,6,h,hhhhhh
427,7,13,x,xxzxvsmxlbxpxz
428,2,4,d,dpnddbdfdm
429,9,16,n,nnnnnnnnknnnnnnr
430,4,5,n,nnnvnn
431,13,16,p,vppppppppppppppz
432,3,6,w,wwtwww
433,7,9,n,nnxnwntnnn
434,4,12,q,mqcnsrvqqzgqkwz
435,3,4,t,dwtj
436,9,12,r,rrrrwrrrrdrcr
437,8,9,w,wwtcwwjhwwww
438,6,8,w,wwwwwwbgw
439,5,15,f,pgflfgfbbvvffkfkmw
440,10,17,s,ssssssssshsssfsssss
441,19,20,m,mmbmxfmmbzqhmxmxmmmw
442,11,12,d,ddddddddddsd
443,13,14,f,fffffffffffffdf
444,1,6,n,nnnnnnnn
445,11,19,x,wmxxbxxkxxxpxxxxxxc
446,2,3,z,szgkqvmzwztdcxtvn
447,16,20,z,zpzhwdtdzhvgcpdpzzzz
448,15,19,p,ppmpcxppppprsgnpppg
449,4,5,x,rrxfxxxqx
450,1,2,q,rqdwn
451,4,6,x,pkfxqxxfxbk
452,13,17,c,ccccccccccccncclc
453,5,7,z,zzzzvhz
454,5,6,r,rrrnrl
455,2,5,g,mfgkgxhckg
456,3,6,c,cnmcjcccdccccv
457,7,11,t,dttttttrttxtt
458,6,9,p,ptlfppppcvsp
459,3,5,g,ggxkwtj
460,5,16,x,phzxlbhqxgxzwjwkkxp
461,7,8,s,wsssssmsn
462,1,7,m,pmgrmkmmnnm
463,15,16,n,nnnnnnnnnvnnnnnln
464,6,8,t,ttzttftst
465,5,7,g,ggggggggggg
466,13,16,d,ddddddddddddpddbdfdd
467,13,14,f,jclffflwlffbfvffffbn
468,3,4,j,xjzjjjr
469,8,14,n,nnnwknndnlnlnn
470,6,7,s,sxsssnzs
471,6,7,r,rrsprrjrcrb
472,10,11,w,qwwcwqzwrbq
473,7,10,b,bbbbbbzbbbb
474,5,6,d,ddddkd
475,16,17,d,ldldddddpdldldddd
476,5,14,w,zdtwxnxwhwwpww
477,6,9,q,mqqxqsqqq
478,2,11,g,gpggzvgggkgmcmt
479,6,14,k,kfkkkxkkkkkkkjkk
480,2,3,m,zfmm
481,13,17,k,kkbkkkkmkktkkkrkk
482,4,6,z,tzprqwzzcpj
483,3,4,w,gblwcxwllzpv
484,3,5,d,ddcddd
485,9,13,r,rrfjmrcsrrwvrrk
486,11,17,m,dgwrmqjmclmczrlwf
487,1,4,v,vvhvvv
488,10,13,c,clhccbcvbvcfcccqccc
489,11,13,s,sssssssssssss
490,6,7,k,skkckkk
491,2,5,m,mfffq
492,3,5,x,jxbxx
493,1,2,c,ctcc
494,5,8,q,qqqqgqqqq
495,11,13,q,hqqbqqqqqqbqqqqqbk
496,9,11,q,qqqqqqqqqql
497,15,20,q,qqqqqqqqnqqqqqqqqqqq
498,5,7,g,gzngbvggmlzzrgx
499,2,10,n,zjknggzlvnxtbwnhmf
500,2,13,c,cccccccccccct
501,4,8,c,cccccccbcccc
502,3,5,k,kdkkz
503,8,10,h,nchthhghhjhjh
504,10,11,l,wllllllllplxllnjj
505,14,17,q,qqhqqqqqqtqvqcqqqrq
506,5,9,d,dddddddrz
507,13,14,z,zzzzzzzzzzzzzm
508,7,9,t,tttttctwlttt
509,6,13,w,dwcwdtwrwccwwl
510,10,11,h,hhhhhwhhmmhhhh
511,7,9,t,tttttjtttt
512,12,17,n,nnnnknnfpnnwncnnjn
513,5,6,c,zccccc
514,11,13,s,ssssksxssssss
515,9,17,q,qqqqcfbqrqqcqzqqlqqq
516,3,4,m,dmml
517,4,6,v,slvvvln
518,4,5,n,nnbmnn
519,2,7,h,whhhhhjvfhhh
520,2,5,s,slhss
521,4,5,q,zbhqhqgqdq
522,2,6,p,pjtxqp
523,7,9,h,hhhhhhkhh
524,7,8,w,fgvwcwws
525,10,13,d,ddddxhdddddvhdddd
526,7,16,m,mmnznmmwmwrmqzrqbmpr
527,12,13,v,vvvvvvvvvzvvjv
528,18,19,g,mztkzhgmndnffztwqfg
529,7,8,j,jjjcjjvjjjjpjjjjjjj
530,7,10,s,sssssssssz
531,18,20,s,sssssssssssssssssssg
532,1,4,r,trrrr
533,2,16,r,mrrrrrrhrcrrfcpqrh
534,5,13,n,nnbljfchnnnnnj
535,1,6,v,vvvvvmvv
536,7,15,q,szqhbkqxppcbkxmc
537,9,10,l,gllllvllsvll
538,1,4,m,mxldw
539,5,9,x,xxxxxxxxj
540,11,16,t,ttttttttwttttttfl
541,7,12,j,sjjzpjjjjljhj
542,1,5,x,wmplxj
543,2,6,z,zzxzzrzqplrh
544,4,6,w,cqbwwbww
545,14,15,l,llllltllllllllw
546,3,4,m,mhmvvz
547,3,4,w,wwmw
548,1,4,c,ccchpccc
549,6,10,p,pppppppppqprbppppp
550,9,15,h,hhhjcrhhhhhhchhjht
551,8,11,g,gggggggkggggggggg
552,4,9,h,hhkqxhhhlh
553,7,8,f,mlfdfrmfbfttmffqfff
554,7,9,t,nttttttvsn
555,6,9,h,hhhhbhvhph
556,4,5,f,hhcdf
557,3,4,k,kfxkcr
558,1,4,z,zzml
559,3,5,f,cjjffbzffqfsbm
560,4,5,f,ffdfh
561,6,17,h,hhhhhhhhhhhhhhhhrh
562,8,10,d,qdddzddddzdd
563,7,8,j,nfxxthqj
564,2,4,n,nnnc
565,3,5,v,vlvzx
566,6,10,n,nnnnnnnnns
567,11,13,q,bzhwhbvwqffzs
568,3,6,c,gccmcc
569,2,5,m,xmbgm
570,2,11,g,tgztmzzbgjzc
571,2,5,j,jsjbj
572,3,4,v,vvljvvv
573,3,6,p,pxwcnwmp
574,2,7,j,ndjnzmjklxqwpkpnwb
575,1,20,s,slssswsnssscgbssxsdg
576,3,4,r,rrrfjc
577,5,16,t,ttntptttsqtttpwtgbt
578,3,4,g,fxgg
579,13,17,l,llltllllllllvllllvrl
580,5,8,q,vxfpqhqd
581,4,8,c,cvqcwkccp
582,5,11,x,kxqkghvxxdqfwxxkxx
583,4,5,t,tttht
584,8,11,n,mnnpnnpsnqdknnvsh
585,1,4,g,gggngpdggv
586,5,6,s,ssssss
587,4,7,d,mddfddk
588,7,8,f,fffffffb
589,4,11,x,cbmcvvvvxgn
590,14,16,d,vdddkddpddddllrddddd
591,8,9,h,qhhhsnxhjmzhlhdjxhf
592,5,13,f,fxfhlqsffxfgwpcz
593,14,16,g,jggggnngggngggggjggg
594,1,5,z,rzgzt
595,3,6,f,fffgrv
596,3,4,w,zwwtwdw
597,9,12,g,dkmhhvhjgsvqglbrr
598,4,5,g,gbrtx
599,1,5,r,xrrrr
600,2,5,d,ddddddddddddddd
601,4,5,j,jjvjz
602,2,4,b,blbbbt
603,16,17,b,bbbbbbbbbbblbbbzbc
604,8,13,l,lljlqlkslqllllll
605,6,15,g,wgfgzggggggbtch
606,4,13,w,cwvbtpnjdkvww
607,8,10,x,xtdxxxxxxhxxx
608,3,6,p,pprpppp
609,15,17,p,ppppppppppppppkpppp
610,1,3,w,wnwpwwbllb
611,3,5,m,mxqdq
612,13,16,s,hsrsssqssssscgssss
613,1,2,c,zccccm
614,5,8,r,rrrrkrrm
615,5,6,j,njjkjjsj
616,5,10,r,rrrrhrrrrr
617,5,12,x,xmxwxnmxsldlrpgxxxc
618,4,6,z,ztzwfzj
619,11,15,w,wwcwwwwwwwzwwww
620,5,7,c,cpccccnd
621,1,16,q,qqvhqhnpqscqqldqbzh
622,8,9,s,kfpdswzssssqssscms
623,2,16,l,hppbqldllnlljvflltl
624,4,12,c,cccccccccccpccc
625,5,6,r,rrrrqb
626,11,12,f,ffffdffffmfdkff
627,5,6,k,lhkkkf
628,12,15,z,bzzzzzzzzstzzzz
629,5,13,c,kgsscwsfzcbwchwk
630,11,18,m,wmmjbmfpvmmmthfwpsxf
631,7,14,m,mmmfmmtqmmmmmmmmrc
632,14,15,g,wbqfggngtbqvpqp
633,10,11,k,kkkvxktjtkbjkkkk
634,2,4,b,wbtkp
635,4,10,v,vvvvbffvmtvvz
636,6,8,m,vtvgmmbc
637,1,7,d,hddsnzd
638,2,3,d,rndxchftldndc
639,2,11,z,zzcwbxkzzqzzp
640,5,6,q,wqqqjq
641,9,10,d,ddddddpdcdd
642,1,12,g,ggfggggggggbn
643,4,5,v,vvvrvv
644,12,14,r,rrrrrrrrrrrqrr
645,6,10,s,sssshvssss
646,7,10,g,gqgzgggksggggdqghs
647,8,9,c,ccccccccf
648,13,18,j,gfjjjjjjjjgjhwjjch
649,11,15,m,mmmmmmmmmmmmmmm
650,2,4,s,ssqsr
651,7,8,v,vxxvbfdgvvgvtw
652,2,7,x,xwxxxxx
653,3,5,p,pzppfp
654,1,2,z,zfzwpzpxzc
655,6,7,r,vrrxrrnrb
656,3,4,f,nvftvrjsgxszkfsffg
657,1,5,w,kndqwltttskcwtzqt
658,1,9,z,zzzzzzzzzz
659,10,11,v,vvvvvvvvvvv
660,1,5,m,gmjhm
661,7,11,j,sdjjpjjjdgnccjjjsq
662,1,6,m,rrmcmmmmmbm
663,1,6,n,nlclfggwnm
664,3,7,s,clfnmssns
665,3,7,m,tqjmmmx
666,13,14,n,nfnvkntnlnnnxfwlnnnn
667,3,4,p,xphp
668,8,9,n,nnnlnnnzn
669,11,12,h,hhhhhhhdhhhhh
670,1,4,p,pjgsphp
671,3,9,f,pvfnfmfrcffffjf
672,15,16,d,dddddddddzddldgdd
673,2,4,b,bvztgnzbpr
674,3,7,w,wgwhmpwwwlwzzhwnv
675,5,9,n,nmznnvnnsznnw
676,4,6,f,zqffsnffdlbkt
677,6,7,s,sssssss
678,2,5,q,kqlqqmv
679,11,14,q,pjqrzjfdgmqzpd
680,17,18,s,sssssssssssssssssj
681,8,12,x,zxxxpxxxxxxt
682,2,4,h,hqhhhwfshp
683,1,9,b,qzwgfbzjvt
684,8,10,c,cccccccccn
685,3,5,n,nnnkwn
686,4,6,m,zmmhdzmmx
687,7,13,v,vvvvvnvvvvvvsvv
688,1,12,z,zzvzxzfzzrzm
689,6,11,p,ppppplppppvppppfp
690,1,5,s,sjsss
691,2,19,w,wwwwwwwwwwwwwwwwwwcw
692,5,6,k,zxlkrkbcrcwkdqtkkw
693,1,4,w,hjjbzqwnpjrbglkr
694,8,9,n,sznnljnqn
695,7,13,k,dwkpnjkdkglnm
696,14,20,x,xzxrxxsxxxxxxxxxxxjx
697,4,7,w,rtrwdvww
698,14,18,m,mmmpmmmmmmmmmlmnmq
699,3,4,z,zzxz
700,8,10,z,zzzzzzzzzjz
701,11,14,v,vcvwvxvcslbvvhv
702,4,8,j,jgjjbrjhp
703,5,6,d,dddddm
704,4,5,n,nnnzn
705,15,16,t,ttttttttttttttnc
706,5,8,b,bbtbspvbbgllcrgxd
707,8,9,w,wwwwwwwqw
708,3,5,j,vbjmxwjgjfrzttznwc
709,12,14,l,llllllllllnglzlwbl
710,2,4,f,ntffj
711,2,4,c,gvccrcc
712,19,20,w,wwwwwwwwwwwwwwwwwwpw
713,1,3,k,klwgkc
714,3,9,s,qsmlssskpsbsscs
715,8,9,j,jjjjjjjdj
716,5,9,s,bszlpsssss
717,13,14,l,llxllhlllllllllll
718,1,6,s,ssssscs
719,7,8,v,pbvptdvv
720,10,15,v,vvvvvvgvvvvvvvcv
721,4,5,k,kkcskfldskdc
